Downloaded from wid.world on 06-08-2026 at 14:13:03
Country ;Variable ;Percentile ;Year ;Value ;Data quality 
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1980;0.207;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1981;0.205;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1982;0.2029;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1983;0.2008;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1984;0.2005;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1985;0.2034;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1986;0.206;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1987;0.2094;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1988;0.2131;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1989;0.2207;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1990;0.2264;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1991;0.2189;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1992;0.1947;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1993;0.1915;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1994;0.1878;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1995;0.1874;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1996;0.1882;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1997;0.1841;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1998;0.1879;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;1999;0.1884;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2000;0.1929;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2001;0.201;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2002;0.2032;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2003;0.2062;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2004;0.2108;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2005;0.2082;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2006;0.2046;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2007;0.2046;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2008;0.1895;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2009;0.1916;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2010;0.193;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2011;0.1812;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2012;0.1739;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2013;0.1705;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2014;0.1702;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2015;0.1696;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2016;0.1683;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2017;0.1763;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2018;0.1716;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2019;0.1667;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2020;0.1692;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2021;0.1722;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2022;0.1735;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2023;0.1728;0
East Asia (PPP) ;"sptinc_p99p100_992_j_QL-PPP
Pre-tax national income
Top 1% | participación | adultos | división en partes iguales
";p99p100;2024;0.1728;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1980;0.5995;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1981;0.5967;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1982;0.5905;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1983;0.5866;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1984;0.5789000000000001;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1985;0.5789000000000001;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1986;0.5784;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1987;0.5740000000000001;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1988;0.5788;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1989;0.5879;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1990;0.5940000000000001;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1991;0.5883;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1992;0.5678000000000001;0
East Asia (PPP) ;"sptinc_p90p100_992_j_QL-PPP
Pre-tax national income
Top 10% | participación | adultos | división en partes iguales
";p90p100;1993;0.5567;0
