Entity,Code,Year,Gini coefficient (before tax)
Afghanistan,AFG,2008,0.5245
Afghanistan,AFG,2012,0.4927
Afghanistan,AFG,2018,0.5154
Albania,ALB,1996,0.4659
Albania,ALB,2002,0.4799
Albania,ALB,2005,0.4731
Albania,ALB,2008,0.4707
Albania,ALB,2012,0.4665
Albania,ALB,2015,0.4925
Albania,ALB,2016,0.5049
Albania,ALB,2017,0.4978
Albania,ALB,2018,0.4913
Albania,ALB,2019,0.4826
Albania,ALB,2020,0.4823
Albania,ALB,2021,0.485
Albania,ALB,2022,0.492
Algeria,DZA,2006,0.5687
Algeria,DZA,2011,0.5185
Algeria,DZA,2013,0.5801
Angola,AGO,2000,0.6825
Angola,AGO,2008,0.6094
Angola,AGO,2018,0.6856
Argentina,ARG,2001,0.6751
Argentina,ARG,2002,0.6839
Argentina,ARG,2003,0.6416
Argentina,ARG,2004,0.6339
Argentina,ARG,2005,0.6136
Argentina,ARG,2006,0.5952
Argentina,ARG,2007,0.6115
Argentina,ARG,2008,0.5714
Argentina,ARG,2009,0.5762
Argentina,ARG,2010,0.574
Argentina,ARG,2011,0.5539
Argentina,ARG,2012,0.5417
Argentina,ARG,2013,0.549
Argentina,ARG,2014,0.5695
Argentina,ARG,2017,0.564
Argentina,ARG,2018,0.563
Argentina,ARG,2019,0.5822
Argentina,ARG,2020,0.6113
Argentina,ARG,2021,0.5714
Argentina,ARG,2022,0.5721
Armenia,ARM,1996,0.5884
Armenia,ARM,1999,0.5529
Australia,AUS,1910,0.6099
Australia,AUS,1930,0.4834
Australia,AUS,1940,0.497
Australia,AUS,1950,0.4879
Australia,AUS,1951,0.4321
Australia,AUS,1952,0.4287
Australia,AUS,1953,0.4263
Australia,AUS,1954,0.4239
Australia,AUS,1955,0.4219
Australia,AUS,1956,0.4234
Australia,AUS,1957,0.4094
Australia,AUS,1958,0.467
Australia,AUS,1959,0.4541
Australia,AUS,1960,0.4526
Australia,AUS,1961,0.4537
Australia,AUS,1962,0.4582
Australia,AUS,1963,0.4612
Australia,AUS,1964,0.4544
Australia,AUS,1965,0.4517
Australia,AUS,1966,0.4448
Australia,AUS,1967,0.4463
Australia,AUS,1968,0.4432
Australia,AUS,1969,0.4396
Australia,AUS,1970,0.4372
Australia,AUS,1971,0.442
Australia,AUS,1972,0.437
Australia,AUS,1973,0.4301
Australia,AUS,1974,0.4223
Australia,AUS,1975,0.4173
Australia,AUS,1976,0.4131
Australia,AUS,1977,0.4134
Australia,AUS,1978,0.4123
Australia,AUS,1979,0.4159
Australia,AUS,1980,0.42
Australia,AUS,1981,0.4203
Australia,AUS,1982,0.4254
Australia,AUS,1983,0.421
Australia,AUS,1984,0.4235
Australia,AUS,1985,0.4263
Australia,AUS,1986,0.434
Australia,AUS,1987,0.4483
Australia,AUS,1988,0.4605
Australia,AUS,1989,0.4425
Australia,AUS,1990,0.438
Australia,AUS,1991,0.4497
Australia,AUS,1992,0.4445
Australia,AUS,1993,0.4511
Australia,AUS,1994,0.4553
Australia,AUS,1995,0.4581
Australia,AUS,1996,0.4562
Australia,AUS,1997,0.4546
Australia,AUS,1998,0.462
Australia,AUS,1999,0.465
Australia,AUS,2000,0.4677
Australia,AUS,2001,0.4607
Australia,AUS,2002,0.4751
Australia,AUS,2003,0.4701
Australia,AUS,2004,0.4745
Australia,AUS,2005,0.4813
Australia,AUS,2006,0.4823
Australia,AUS,2007,0.481
Australia,AUS,2008,0.4876
Australia,AUS,2009,0.4881
Australia,AUS,2010,0.4866
Australia,AUS,2011,0.4863
Australia,AUS,2012,0.4873
Australia,AUS,2013,0.4875
Australia,AUS,2014,0.488
Australia,AUS,2015,0.4893
Australia,AUS,2016,0.483
Australia,AUS,2017,0.4875
Australia,AUS,2018,0.4798
Australia,AUS,2019,0.4817
Australia,AUS,2020,0.4819
Australia,AUS,2021,0.4921
Australia,AUS,2022,0.4923
Austria,AUT,2004,0.4241
Austria,AUT,2005,0.4204
Austria,AUT,2006,0.4278
Austria,AUT,2007,0.4277
Austria,AUT,2008,0.4281
Austria,AUT,2009,0.4192
Austria,AUT,2010,0.4294
Austria,AUT,2011,0.4272
Austria,AUT,2012,0.4214
Austria,AUT,2015,0.4167
Austria,AUT,2016,0.4275
Austria,AUT,2017,0.4182
Azerbaijan,AZE,1995,0.5556
Bahrain,BHR,1995,0.6585
Bahrain,BHR,2005,0.6886
Bahrain,BHR,2009,0.5931
Bahrain,BHR,2015,0.67
Bangladesh,BGD,1983,0.4732
Bangladesh,BGD,1985,0.4936
Bangladesh,BGD,1988,0.5105
Bangladesh,BGD,1991,0.4925
Bangladesh,BGD,1995,0.5501
Bangladesh,BGD,2000,0.5525
Bangladesh,BGD,2005,0.5639
Bangladesh,BGD,2010,0.5463
Bangladesh,BGD,2016,0.5298
Belgium,BEL,1985,0.4294
Belgium,BEL,1988,0.4502
Belgium,BEL,1991,0.4418
Belgium,BEL,1992,0.4402
Belgium,BEL,1993,0.4424
Belgium,BEL,1994,0.4458
Belgium,BEL,1995,0.4444
Belgium,BEL,1996,0.4481
Belgium,BEL,1997,0.4479
Belgium,BEL,1998,0.4507
Belgium,BEL,1999,0.4534
Belgium,BEL,2000,0.4529
Belgium,BEL,2001,0.4473
Belgium,BEL,2002,0.4422
Belgium,BEL,2003,0.445
Belgium,BEL,2004,0.4481
Belgium,BEL,2005,0.4455
Belgium,BEL,2006,0.4479
Belgium,BEL,2007,0.4535
Belgium,BEL,2008,0.4367
Belgium,BEL,2009,0.4321
Belgium,BEL,2010,0.4396
Belgium,BEL,2011,0.4327
Belgium,BEL,2012,0.4338
Belgium,BEL,2014,0.438
Belgium,BEL,2015,0.4384
Belgium,BEL,2016,0.4384
Belgium,BEL,2017,0.4363
Belgium,BEL,2018,0.4489
Belgium,BEL,2019,0.4501
Belgium,BEL,2020,0.4501
Belgium,BEL,2021,0.4505
Belgium,BEL,2022,0.4506
Benin,BEN,2003,0.5909
Benin,BEN,2011,0.6254
