Year,East Asia,Europe,Latin America,Middle East & North Africa,North America & Oceania,Russia & Central Asia,South & Southeast Asia,Sub-Saharan Africa
1950,0.2735,0.389,0.4689,0.448,0.3024,0.1739,0.2076,0.5134000000000001
1951,,,,,,,,
1952,,,,,,,,
1953,,,,,,,,
1954,,,,,,,,
1955,,,,,,,,
1956,,,,,,,,
1957,,,,,,,,
1958,,,,,,,,
1959,,,,,,,,
1960,0.3808,0.2953,0.4354,0.4687,0.2835,0.1742,0.23,0.5242
1961,,,,,,,,
1962,,,,,,,,
1963,,,,,,,,
1964,,,,,,,,
1965,,,,,,,,
1966,,,,,,,,
1967,,,,,,,,
1968,,,,,,,,
1969,,,,,,,,
1970,0.4204,0.2535,0.4478,0.4838,0.2626,0.1751,0.2594,0.5475
1971,,,,,,,,
1972,,,,,,,,
1973,,,,,,,,
1974,,,,,,,,
1975,,,,,,,,
1976,,,,,,,,
1977,,,,,,,,
1978,,,,,,,,
1979,,,,,,,,
1980,0.4328,0.2335,0.362,0.4886,0.2318,0.2055,0.2303,0.4311
1981,0.4284,0.2275,0.3583,0.4895,0.2369,0.2054,0.2299,0.4403
1982,0.4209,0.2229,0.359,0.4725,0.2413,0.2054,0.2326,0.4366
1983,0.4159,0.2224,0.3635,0.4588,0.2364,0.2058,0.2347,0.4266
1984,0.4211,0.2179,0.3614,0.4563,0.2382,0.2058,0.2375,0.4232
1985,0.4267,0.2188,0.3588,0.4426,0.2392,0.2061,0.239,0.4184
1986,0.4264,0.2168,0.3584,0.4499,0.2474,0.2062,0.2442,0.4122
1987,0.4406,0.2172,0.3625,0.4416,0.264,0.2069,0.2484,0.4136
1988,0.4616,0.2188,0.3601,0.4454,0.2821,0.2064,0.248,0.4093
1989,0.4623,0.2218,0.361,0.4396,0.2854,0.207,0.2529,0.4104
1990,0.4663,0.2146,0.3576,0.4368,0.2859,0.2066,0.2517,0.4035
1991,0.4579,0.2202,0.3582,0.4575,0.2817,0.2077,0.259,0.4055
1992,0.4378,0.2227,0.3577,0.4503,0.2903,0.2144,0.2722,0.4003
1993,0.4198,0.2244,0.3631,0.4431,0.2854,0.2188,0.2754,0.4001
1994,0.4153,0.2274,0.3594,0.4389,0.2867,0.2221,0.2827,0.4041
1995,0.4093,0.2263,0.3558,0.4376,0.2871,0.2278,0.2857,0.3983
1996,0.4017,0.2349,0.3593,0.428,0.2911,0.2413,0.2888,0.3945
1997,0.3843,0.2429,0.3581,0.4333,0.299,0.3035,0.2887,0.3876
1998,0.3736,0.2455,0.3599,0.4279,0.3097,0.3314,0.2689,0.3786
1999,0.3585,0.2506,0.3598,0.4198,0.3137,0.3726,0.2697,0.3818
2000,0.3499,0.251,0.3611,0.4202,0.3185,0.357,0.2734,0.3858
2001,0.3469,0.2482,0.3638,0.4096,0.3169,0.3905,0.2825,0.385
2002,0.3319,0.2485,0.3658,0.4042,0.3101,0.3597,0.293,0.3777
2003,0.3317,0.2425,0.3789,0.4056,0.3064,0.3977,0.2944,0.3737
2004,0.3282,0.2416,0.379,0.3987,0.3128,0.4042,0.2943,0.3711
2005,0.3224,0.244,0.3777,0.3929,0.3188,0.3885,0.2969,0.3782
2006,0.3405,0.2455,0.3712,0.3908,0.3226,0.3765,0.3056,0.385
2007,0.3624,0.2469,0.3742,0.3845,0.3284,0.3586,0.3233,0.3881
2008,0.357,0.2408,0.3658,0.3797,0.3317,0.3818,0.3043,0.3874
2009,0.3309,0.2393,0.3628,0.3663,0.3205,0.3293,0.2879,0.3789
2010,0.3233,0.2445,0.3635,0.3622,0.3341,0.3529,0.3059,0.3809
2011,0.304,0.2436,0.3663,0.3622,0.3398,0.3616,0.309,0.3845
2012,0.2973,0.2464,0.3656,0.3598,0.3514,0.3618,0.2985,0.3739
2013,0.2945,0.2525,0.3663,0.36,0.3431,0.3606,0.2999,0.3767
2014,0.2984,0.2584,0.364,0.3574,0.3461,0.3758,0.2941,0.3725
2015,0.3057,0.2545,0.3655,0.3514,0.3456,0.4349,0.312,0.3695
2016,0.3051,0.2532,0.3603,0.3519,0.3419,0.4054,0.3054,0.3639
2017,0.3061,0.2561,0.3632,0.3592,0.3437,0.4062,0.3075,0.3592
2018,0.3041,0.2547,0.365,0.3633,0.3411,0.4173,0.3385,0.355
2019,0.3016,0.2527,0.3622,0.3595,0.339,0.4174,0.3367,0.3488
2020,0.3038,0.2513,0.3688,0.3506,0.3431,0.4626,0.3231,0.3428
2021,0.3046,0.256,0.3703,0.3466,0.3536,0.4684,0.3464,0.3474
2022,0.3037,0.2544,0.3641,0.3574,0.3403,0.4621,0.3479,0.3432
2023,0.3039,0.2534,0.3633,0.3643,0.3395,0.4606,0.3496,0.3426
2024,0.3042,0.255,0.3688,0.3546,0.3393,0.4603,0.357,0.3458
2025,,,,,,,,
